,허가번호,경도,위도,"주파수 대역
(MHz)",구분
24,322014110004540,126.981461,127.175308,2600,기지국
25,322014110004990,126.986564,127.175308,2600,기지국
26,322014110005714,126.982014,127.175308,2600,기지국
27,322014110006610,126.976764,127.175308,2600,기지국
57,322015110032270,126.983433,127.175308,2600,기지국
58,322015110041513,126.985028,127.175308,2600,기지국
59,322015110041514,126.982561,127.175308,2600,기지국
76,322016110029101,126.984072,127.175308,2600,기지국
77,322016110029102,126.983433,127.175308,2600,기지국
80,322016110045340,126.982014,127.175308,2600,기지국
84,322016110054703,126.976769,127.175308,2600,기지국
89,322016110081941,126.982014,127.175308,2600,기지국
92,322016110085035,126.983433,127.175308,2600,기지국
93,322016110085036,126.983433,127.175308,2600,기지국
104,322017110032069,126.982561,127.175308,2600,기지국
105,322017110045078,126.984436,127.175308,2600,기지국
106,322017110045079,126.984436,127.175308,2600,기지국
111,322017110051700,126.980489,127.175308,2600,기지국
120,322018110047041,126.986117,127.175308,2600,기지국
123,322018110066664,126.976769,127.175308,2600,기지국
134,322019110051561,126.985689,127.175308,2600,기지국
215,322021110045373,126.981292,127.175308,2600,기지국
293,322023110021940,126.981764,127.175308,2600,기지국
308,322024110037549,126.981,127.175308,2600,기지국
329,322025110017047,126.981925,127.175308,2600,기지국
451,322014110004504,126.999147,127.175308,2600,기지국
452,322014110004515,126.999697,127.175308,2600,기지국
453,322014110005001,126.996772,127.175308,2600,기지국
455,322014110005206,127.000711,127.175308,2600,기지국
456,322014110005712,127.001731,127.175308,2600,기지국
459,322014110006598,126.997819,127.175308,2600,기지국
460,322014110006601,127.000986,127.175308,2600,기지국
461,322014110006602,126.999908,127.175308,2600,기지국
462,322014110006707,127.002136,127.175308,2600,기지국
463,322014110006708,127.003025,127.175308,2600,기지국
464,322014110006709,127.004958,127.175308,2600,기지국
465,322014110006712,126.997617,127.175308,2600,기지국
466,322014110006715,126.998819,127.175308,2600,기지국
467,322014110006911,127.000283,127.175308,2600,기지국
468,322014110007296,127.00205,127.175308,2600,기지국
469,322014110015535,127.003697,127.175308,2600,기지국
486,322014110032485,127.005933,127.175308,2600,기지국
513,322015110001058,126.996975,127.175308,2600,기지국
516,322015110003671,126.995425,127.175308,2600,기지국
517,322015110010590,126.995339,127.175308,2600,기지국
521,322015110016410,126.997897,127.175308,2600,기지국
530,322015110058149,126.997417,127.175308,2600,기지국
539,322016110035013,126.999269,127.175308,2600,기지국
540,322016110035019,126.996769,127.175308,2600,기지국
541,322016110038809,127.005519,127.175308,2600,기지국
542,322016110041080,127.004925,127.175308,2600,기지국
543,322016110041084,127.003697,127.175308,2600,기지국
544,322016110041110,127.005519,127.175308,2600,기지국
545,322016110041761,126.998819,127.175308,2600,기지국
546,322016110043969,127.000156,127.175308,2600,기지국
547,322016110044294,127.000753,127.175308,2600,기지국
548,322016110044299,126.997617,127.175308,2600,기지국
549,322016110044314,127.00205,127.175308,2600,기지국
550,322016110044767,126.998514,127.175308,2600,기지국
551,322016110045001,127.004958,127.175308,2600,기지국
552,322016110045413,126.999908,127.175308,2600,기지국
572,322016110054221,126.997144,127.175308,2600,기지국
573,322016110054231,126.996736,127.175308,2600,기지국
588,322016110078370,127.000283,127.175308,2600,기지국
589,322016110078428,127.000083,127.175308,2600,기지국
595,322016110081851,127.00205,127.175308,2600,기지국
596,322016110081915,127.00205,127.175308,2600,기지국
597,322016110081916,127.00205,127.175308,2600,기지국
603,322016110085041,126.997072,127.175308,2600,기지국
604,322016110085043,127.003817,127.175308,2600,기지국
605,322016110085049,127.004958,127.175308,2600,기지국
614,322017110009214,126.999464,127.175308,2600,기지국
615,322017110027746,126.997506,127.175308,2600,기지국
617,322017110057107,127.004958,127.175308,2600,기지국
620,322017110059410,127.000283,127.175308,2600,기지국
621,322017110059606,127.002136,127.175308,2600,기지국
623,322017110060027,126.998819,127.175308,2600,기지국
624,322017110060028,126.999697,127.175308,2600,기지국
625,322017110060029,127.00205,127.175308,2600,기지국
628,322017110061663,126.998819,127.175308,2600,기지국
629,322017110062231,127.0003,127.175308,2600,기지국
632,322018110005035,127.003025,127.175308,2600,기지국
633,322018110005048,127.003817,127.175308,2600,기지국
636,322018110006061,127.002136,127.175308,2600,기지국
639,322018110037087,126.997617,127.175308,2600,기지국
640,322018110037088,126.996772,127.175308,2600,기지국
641,322018110037089,126.997611,127.175308,2600,기지국
643,322018110045574,126.999908,127.175308,2600,기지국
644,322018110047042,126.998456,127.175308,2600,기지국
651,322018110052540,127.000097,127.175308,2600,기지국
652,322018110052546,126.998819,127.175308,2600,기지국
671,322018110063697,127.000283,127.175308,2600,기지국
769,322021110043474,127.001644,127.175308,2600,기지국
778,322022110004940,126.999147,127.175308,2600,기지국
804,322023110027220,126.996978,127.175308,2600,기지국
816,322024110035808,127.003453,127.175308,2600,기지국
826,322025110008522,127.002136,127.175308,2600,기지국
827,322025110008528,127.002136,127.175308,2600,기지국
981,322014110004542,127.014247,127.175308,2600,기지국
982,322014110005193,127.012028,127.175308,2600,기지국
983,322014110005500,127.014808,127.175308,2600,기지국
984,322014110005524,127.021819,127.175308,2600,기지국
985,322014110005526,127.019808,127.175308,2600,기지국
986,322014110005695,127.013714,127.175308,2600,기지국
987,322014110006793,127.013928,127.175308,2600,기지국
988,322014110006869,127.017914,127.175308,2600,기지국
989,322014110006872,127.019289,127.175308,2600,기지국
990,322014110007291,127.016619,127.175308,2600,기지국
991,322014110007292,127.014575,127.175308,2600,기지국
992,322014110007295,127.020672,127.175308,2600,기지국
996,322014110023885,127.011925,127.175308,2600,기지국
1017,322014110042714,127.011144,127.175308,2600,기지국
1018,322014110042715,127.01665,127.175308,2600,기지국
1020,322014110045187,127.016131,127.175308,2600,기지국
1049,322014110066026,127.015267,127.175308,2600,기지국
